"sequence.sequenceID","alignment.name","alignment.displayName","sequence.m49_country.id","sequence.m49_country.display_name","sequence.gb_place_sampled","sequence.location","sequence.collection_year","sequence.earliest_collection_year","sequence.latest_collection_year","sequence.gb_length","sequence.gb_create_date","sequence.gb_update_date","sequence.host","sequence.gb_pubmed_id","sequence.isolate"
"JF327492","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","Onderstepoort","South Africa: Onderstepoort",2010,2010,2010,592,"29-Feb-12","25-Jul-16","Canis familiaris",NA,"479/10"
"JF327493","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","Onderstepoort","South Africa: Onderstepoort",2010,2010,2010,592,"29-Feb-12","25-Jul-16","Canis familiaris",NA,"464/10"
"JF327494","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","Onderstepoort","South Africa: Onderstepoort",2010,2010,2010,592,"29-Feb-12","25-Jul-16","Canis familiaris",NA,"503/10"
"JF327496","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","Onderstepoort","South Africa: Onderstepoort",2010,2010,2010,592,"29-Feb-12","25-Jul-16","Canis familiaris",NA,"725/10"
"JN227482","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2011,2011,2011,592,"27-Feb-12","27-Feb-12","Canis familiaris",NA,"115-11"
"JN227486","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2011,2011,2011,592,"27-Feb-12","27-Feb-12","Canis familiaris",NA,"268-11"
"JQ756128","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2010,2010,2010,592,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"754-10"
"JQ756129","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2010,2010,2010,592,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"837-10"
"JQ756135","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2010,2010,2010,592,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"952-10"
"JQ756136","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2010,2010,2010,592,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"960-10"
"JQ756138","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2010,2010,2010,592,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"1002-10"
"JQ756139","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2010,2010,2010,592,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"1009-10"
"JQ756140","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2010,2010,2010,592,"20-Feb-13","20-Feb-13","Bos taurus",NA,"1020-10"
"JQ756148","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2011,2011,2011,592,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"260-11"
"JQ756151","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2011,2011,2011,592,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"393-11"
"JQ756152","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2011,2011,2011,592,"20-Feb-13","20-Feb-13","Bos taurus",NA,"403-11"
"JQ756154","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2011,2011,2011,592,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"449-11"
"JQ756156","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2011,2011,2011,592,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"793-11"
"JQ756157","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2011,2011,2011,592,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"800-11"
"JQ756158","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2011,2011,2011,592,"20-Feb-13","20-Feb-13","Felis catus",NA,"855-11"
"JN227483","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2011,2011,2011,592,"27-Feb-12","27-Feb-12","Canis familiaris",NA,"157-11"
"JN227484","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2011,2011,2011,592,"27-Feb-12","27-Feb-12","Canis familiaris",NA,"206-11"
"JN227485","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2011,2011,2011,592,"27-Feb-12","27-Feb-12","Canis familiaris",NA,"236-11"
"JN227487","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2011,2011,2011,592,"27-Feb-12","27-Feb-12","Canis familiaris",NA,"288-11"
"JQ756127","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2010,2010,2010,592,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"712-10"
"JQ756133","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2010,2010,2010,592,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"924-10"
"JQ756146","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2010,2010,2010,592,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"1183-10"
"JQ756147","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2010,2010,2010,591,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"1252-10"
"JQ756149","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2011,2011,2011,592,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"341-11"
"JQ756150","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2011,2011,2011,592,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"343-11"
"KC660208","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (Umkhanyakude)","South Africa: KwaZulu Natal (Umkhanyakude)",2010,2010,2010,891,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"10/106"
"KC660238","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (Umkhanyakude)","South Africa: KwaZulu Natal (Umkhanyakude)",2010,2010,2010,890,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"10/317"
"KC660269","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (Umkhanyakude)","South Africa: KwaZulu Natal (Umkhanyakude)",2010,2010,2010,838,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"10/379"
"KC660173","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (Zululand)","South Africa: KwaZulu Natal (Zululand)",2010,2010,2010,844,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"10/508"
"KC660209","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (uThungulu)","South Africa: KwaZulu Natal (uThungulu)",2010,2010,2010,891,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"10/271"
"JQ756159","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2011,2011,2011,594,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"868-11"
"JQ756130","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2010,2010,2010,592,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"900-10"
"JQ756141","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2010,2010,2010,593,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"1061-10"
"JQ756142","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2010,2010,2010,593,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"1064-10"
"JQ756153","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2011,2011,2011,592,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"429-11"
"JF327495","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","Onderstepoort","South Africa: Onderstepoort",2010,2010,2010,592,"29-Feb-12","25-Jul-16","Canis familiaris",NA,"736/10"
"JQ756134","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2010,2010,2010,592,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"951-10"
"JQ756131","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2010,2010,2010,592,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"916-10"
"JQ756132","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2010,2010,2010,592,"20-Feb-13","20-Feb-13","Canis familiaris",NA,"923-10"
"KC660279","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (Zululand)","South Africa: KwaZulu Natal (Zululand)",2011,2011,2011,839,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"11/181"
"KC660200","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (eThekwini Unicity)","South Africa: KwaZulu Natal (eThekwini Unicity)",2010,2010,2010,877,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"10/352"
"GQ918320","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",NA,NA,2009,592,"13-Oct-09","24-Jul-16",NA,21036195,"155.95"
"DQ841470","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Nwedwe:J13","South Africa: KwaZulu Natal:Nwedwe:J13",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.276"
"KC660246","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (eThekwini Unicity)","South Africa: KwaZulu Natal (eThekwini Unicity)",2010,2010,2010,879,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"10/310"
"GQ918328","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",NA,NA,2009,592,"13-Oct-09","24-Jul-16",NA,21036195,"169.95"
"GQ983458","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",NA,NA,2009,592,"13-Oct-09","24-Jul-16",NA,21036195,"292.88"
"GQ983508","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",NA,NA,2009,592,"13-Oct-09","24-Jul-16",NA,21036195,"48.87"
"GQ918316","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",NA,NA,2009,592,"13-Oct-09","24-Jul-16",NA,21036195,"15.03"
"GQ918327","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",NA,NA,2009,592,"13-Oct-09","24-Jul-16",NA,21036195,"168.91"
"GQ983385","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",NA,NA,2009,592,"13-Oct-09","24-Jul-16",NA,21036195,"176.91"
"GQ983512","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",NA,NA,2009,592,"13-Oct-09","24-Jul-16",NA,21036195,"52.91"
"GQ983397","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",NA,NA,2009,592,"13-Oct-09","24-Jul-16",NA,21036195,"190.84"
"GQ983398","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","LSO","Lesotho",NA,"Lesotho: -",NA,NA,2009,592,"13-Oct-09","24-Jul-16",NA,21036195,"190.87"
"GQ983465","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",NA,NA,2009,592,"13-Oct-09","24-Jul-16",NA,21036195,"30.89"
"GQ983474","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",NA,NA,2009,592,"13-Oct-09","24-Jul-16",NA,21036195,"334.93"
"GQ983492","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",NA,NA,2009,592,"13-Oct-09","24-Jul-16",NA,21036195,"397.96"
"DQ841444","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Lower Umfolozi:P6","South Africa: KwaZulu Natal:Lower Umfolozi:P6",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.180"
"DQ841450","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Lower Umfolozi:N9","South Africa: KwaZulu Natal:Lower Umfolozi:N9",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.209"
"DQ841459","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Mhlabatini:L8","South Africa: KwaZulu Natal:Mhlabatini:L8",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.241"
"DQ841463","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Lower Umfolozi:N9","South Africa: KwaZulu Natal:Lower Umfolozi:N9",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.254"
"DQ841466","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Inanda:J13","South Africa: KwaZulu Natal:Inanda:J13",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.264"
"DQ841467","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Ngotshe:L5","South Africa: KwaZulu Natal:Ngotshe:L5",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.265"
"DQ841472","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Hlabisa:O7","South Africa: KwaZulu Natal:Hlabisa:O7",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.292"
"DQ841479","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Lower Umfolozi:N9","South Africa: KwaZulu Natal:Lower Umfolozi:N9",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.309"
"DQ841480","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Hlabisa:O8","South Africa: KwaZulu Natal:Hlabisa:O8",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.314"
"DQ841488","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Lower Umfolozi:N9","South Africa: KwaZulu Natal:Lower Umfolozi:N9",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.340"
"DQ841489","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Mhlabatini:L7","South Africa: KwaZulu Natal:Mhlabatini:L7",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.343"
"DQ841501","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Hlabisa:O7","South Africa: KwaZulu Natal:Hlabisa:O7",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.400"
"DQ841511","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Nongoma:N6","South Africa: KwaZulu Natal:Nongoma:N6",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.430"
"DQ841526","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Lower Umfolozi:O9","South Africa: KwaZulu Natal:Lower Umfolozi:O9",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.494"
"DQ841529","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Lower Umfolozi:N9","South Africa: KwaZulu Natal:Lower Umfolozi:N9",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.507"
"DQ841535","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Lower Umfolozi:N9","South Africa: KwaZulu Natal:Lower Umfolozi:N9",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.568"
"DQ841539","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Lower Umfolozi:N9","South Africa: KwaZulu Natal:Lower Umfolozi:N9",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.594"
"DQ841540","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Hlabisa:O8","South Africa: KwaZulu Natal:Hlabisa:O8",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.621"
"DQ841541","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Lower Umfolozi:O10","South Africa: KwaZulu Natal:Lower Umfolozi:O10",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.672"
"DQ841543","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Mhlabatini:M7","South Africa: KwaZulu Natal:Mhlabatini:M7",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Capra hircus",17451828,"KZNgt03.358"
"DQ841546","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal","South Africa: KwaZulu Natal",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Homo sapiens",17451828,"KZNhmSPU03.15"
"GQ918323","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",NA,NA,2009,592,"13-Oct-09","24-Jul-16",NA,21036195,"161.04"
"KC660222","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (Zululand)","South Africa: KwaZulu Natal (Zululand)",2010,2010,2010,890,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"10/233"
"KC660190","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (Zululand)","South Africa: KwaZulu Natal (Zululand)",2010,2010,2010,889,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"10/644"
"KC660196","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (Zululand)","South Africa: KwaZulu Natal (Zululand)",2010,2010,2010,879,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"10/188"
"KC660223","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (Zululand)","South Africa: KwaZulu Natal (Zululand)",2010,2010,2010,890,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"10/440"
"KC660194","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (uThungulu)","South Africa: KwaZulu Natal (uThungulu)",2010,2010,2010,886,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"10/331"
"KC660217","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (uThungulu)","South Africa: KwaZulu Natal (uThungulu)",2010,2010,2010,891,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"10/369"
"KC660224","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (Zululand)","South Africa: KwaZulu Natal (Zululand)",2010,2010,2010,890,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"10/167"
"KC660247","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (Zululand)","South Africa: KwaZulu Natal (Zululand)",2010,2010,2010,868,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"10/481"
"DQ841478","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Lower Umfolozi:N9","South Africa: KwaZulu Natal:Lower Umfolozi:N9",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.308"
"DQ841493","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Lower Umfolozi:O9","South Africa: KwaZulu Natal:Lower Umfolozi:O9",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.368"
"DQ841490","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Hlabisa:O7","South Africa: KwaZulu Natal:Hlabisa:O7",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"ECdg03.05"
"DQ841455","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Vryheid:J6","South Africa: KwaZulu Natal:Vryheid:J6",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.230"
"DQ841510","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Vryheid:L6","South Africa: KwaZulu Natal:Vryheid:L6",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.425"
"DQ841508","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Hlabisa:O7","South Africa: KwaZulu Natal:Hlabisa:O7",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.417"
"DQ841453","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Hlabisa:O7","South Africa: KwaZulu Natal:Hlabisa:O7",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.215"
"DQ841477","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Hlabisa:O7","South Africa: KwaZulu Natal:Hlabisa:O7",2003,NA,2007,591,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.307"
"GQ983444","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",NA,NA,2009,592,"13-Oct-09","24-Jul-16",NA,21036195,"268.07"
"GQ983502","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",NA,NA,2009,592,"13-Oct-09","24-Jul-16",NA,21036195,"46.07"
"DQ841476","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Lower Umfolozi:N9","South Africa: KwaZulu Natal:Lower Umfolozi:N9",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.306"
"DQ841519","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Lower Umfolozi:N9","South Africa: KwaZulu Natal:Lower Umfolozi:N9",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.470"
"DQ841532","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Eshowe:L10","South Africa: KwaZulu Natal:Eshowe:L10",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.513"
"DQ841534","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Ubombo:P6","South Africa: KwaZulu Natal:Ubombo:P6",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.518"
"DQ841533","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal:Lower Umfolozi:N9","South Africa: KwaZulu Natal:Lower Umfolozi:N9",2003,NA,2007,592,"06-Jun-07","14-Jul-16","Canis familiaris",17451828,"KZNdg03.514"
"KC660191","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (uThungulu)","South Africa: KwaZulu Natal (uThungulu)",2010,2010,2010,889,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"10/614"
"KC660198","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (uThungulu)","South Africa: KwaZulu Natal (uThungulu)",2011,2011,2011,883,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"11/240"
"KC660273","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (uThungulu)","South Africa: KwaZulu Natal (uThungulu)",2010,2010,2010,839,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"10/367"
"KC660274","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (uThungulu)","South Africa: KwaZulu Natal (uThungulu)",2010,2010,2010,832,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"10/608"
"KC660197","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (uThungulu)","South Africa: KwaZulu Natal (uThungulu)",2011,2011,2011,885,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"11/63"
"KC660271","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (eThekwini Unicity)","South Africa: KwaZulu Natal (eThekwini Unicity)",2010,2010,2010,852,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"10/613"
"KC660192","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa","KwaZulu Natal (uThungulu)","South Africa: KwaZulu Natal (uThungulu)",2011,2011,2011,874,"13-Mar-14","13-Mar-14","Canis lupus familiaris",24619442,"11/127"
