"Region","District","Ward","Village","Population","matchWard","DW","matchVillage","DWV"
"Kusini Pemba","Mkoani","Wambaa","Ziwani",347,"Wambaa","Mkoani Wambaa","Ziwani","Mkoani Wambaa ziwani"
"Kusini Pemba","Mkoani","Mbuguani","Tironi",610,"Mbuguani","Mkoani Mbuguani","Tironi","Mkoani Mbuguani tironi"
"Kusini Pemba","Mkoani","Mbuguani","Kilima Upendo",355,"Mbuguani","Mkoani Mbuguani","Kilima Upendo","Mkoani Mbuguani kilima upendo"
"Kusini Pemba","Mkoani","Mbuguani","Mbuguani",759,"Mbuguani","Mkoani Mbuguani","Mbuguani","Mkoani Mbuguani mbuguani"
"Kusini Pemba","Mkoani","Uweleni","Kinyasini",446,"Uweleni","Mkoani Uweleni","Kinyasini","Mkoani Uweleni kinyasini"
"Kusini Pemba","Mkoani","Uweleni","Uweleni",1511,"Uweleni","Mkoani Uweleni","Uweleni","Mkoani Uweleni uweleni"
"Kusini Pemba","Mkoani","Uweleni","Mapinduzi",581,"Uweleni","Mkoani Uweleni","Mapinduzi","Mkoani Uweleni mapinduzi"
"Kusini Pemba","Mkoani","Mtangani","Mtangani",1082,"Mtangani","Mkoani Mtangani","Mtangani","Mkoani Mtangani mtangani"
"Kusini Pemba","Mkoani","Mtangani","Chwaka",956,"Mtangani","Mkoani Mtangani","Chwaka","Mkoani Mtangani chwaka"
"Kusini Pemba","Mkoani","Mtangani","Kichaka",1160,"Mtangani","Mkoani Mtangani","Kichaka","Mkoani Mtangani kichaka"
"Kusini Pemba","Mkoani","Ukutini","Miamboni",518,"Ukutini","Mkoani Ukutini","Miamboni","Mkoani Ukutini miamboni"
"Kusini Pemba","Mkoani","Ukutini","Ukutini",1083,"Ukutini","Mkoani Ukutini","Ukutini","Mkoani Ukutini ukutini"
"Kusini Pemba","Mkoani","Ukutini","Chanjaani",767,"Ukutini","Mkoani Ukutini","Chanjaani","Mkoani Ukutini chanjaani"
"Kusini Pemba","Mkoani","Ukutini","Nzisiwe",378,"Ukutini","Mkoani Ukutini","Nzisiwe","Mkoani Ukutini nzisiwe"
"Kusini Pemba","Mkoani","Chumbageni","Chumbageni",1700,"Chumbageni","Mkoani Chumbageni","Chumbageni","Mkoani Chumbageni chumbageni"
"Kusini Pemba","Mkoani","Chumbageni","Tumbi",660,"Chumbageni","Mkoani Chumbageni","Tumbi","Mkoani Chumbageni tumbi"
"Kusini Pemba","Mkoani","Chumbageni","Andikoni",219,"Chumbageni","Mkoani Chumbageni","Andikoni","Mkoani Chumbageni andikoni"
"Kusini Pemba","Mkoani","Mbuyuni","Makadara",454,"Mbuyuni","Mkoani Mbuyuni","Makadara","Mkoani Mbuyuni makadara"
"Kusini Pemba","Mkoani","Mbuyuni","Kikwajuni",367,"Mbuyuni","Mkoani Mbuyuni","Kikwajuni","Mkoani Mbuyuni kikwajuni"
"Kusini Pemba","Mkoani","Mbuyuni","Mjini Mkoani",523,"Mbuyuni","Mkoani Mbuyuni","Mjini Mkoani","Mkoani Mbuyuni mjini mkoani"
"Kusini Pemba","Mkoani","Mbuyuni","Mbuyuni",539,"Mbuyuni","Mkoani Mbuyuni","Mbuyuni","Mkoani Mbuyuni mbuyuni"
"Kusini Pemba","Mkoani","Stahabu","Stahabu",389,"Stahabu","Mkoani Stahabu","Stahabu","Mkoani Stahabu stahabu"
"Kusini Pemba","Mkoani","Stahabu","Chanjani",1602,"Stahabu","Mkoani Stahabu","Chanjaani","Mkoani Stahabu chanjaani"
"Kusini Pemba","Mkoani","Stahabu","Kilimani",378,"Stahabu","Mkoani Stahabu","Kilimani","Mkoani Stahabu kilimani"
"Kusini Pemba","Mkoani","Kuukuu","Kinyasini",861,"Kuukuu","Mkoani Kuukuu","Kinyasini","Mkoani Kuukuu kinyasini"
"Kusini Pemba","Mkoani","Kuukuu","Kuu Kuu",1265,"Kuukuu","Mkoani Kuukuu","Kuukuu","Mkoani Kuukuu kuukuu"
"Kusini Pemba","Mkoani","Mjimbini","Sokoni",988,"Mjimbini","Mkoani Mjimbini","Sokoni","Mkoani Mjimbini sokoni"
"Kusini Pemba","Mkoani","Mjimbini","Mjimbini",868,"Mjimbini","Mkoani Mjimbini","Mjimbini","Mkoani Mjimbini mjimbini"
"Kusini Pemba","Mkoani","Mjimbini","Tanga",319,"Mjimbini","Mkoani Mjimbini","Tanga","Mkoani Mjimbini tanga"
"Kusini Pemba","Mkoani","Mjimbini","Tondooni",231,"Mjimbini","Mkoani Mjimbini","Tondooni","Mkoani Mjimbini tondooni"
"Kusini Pemba","Mkoani","Shamiani","Shamiani",951,"Shamiani","Mkoani Shamiani","Shamiani","Mkoani Shamiani shamiani"
"Kusini Pemba","Mkoani","Jombwe","Chanjaani",927,"Jombwe","Mkoani Jombwe","Chanjaani","Mkoani Jombwe chanjaani"
"Kusini Pemba","Mkoani","Jombwe","Mgombea",1209,"Jombwe","Mkoani Jombwe","Mgomea","Mkoani Jombwe mgomea"
"Kusini Pemba","Mkoani","Jombwe","Jombwe",876,"Jombwe","Mkoani Jombwe","Jombwe","Mkoani Jombwe jombwe"
"Kusini Pemba","Mkoani","Kendwa","Kitondooni",467,"Kendwa","Mkoani Kendwa","Kitondooni","Mkoani Kendwa kitondooni"
"Kusini Pemba","Mkoani","Kendwa","Vizuke",421,"Kendwa","Mkoani Kendwa","Vizuke","Mkoani Kendwa vizuke"
"Kusini Pemba","Mkoani","Kendwa","Junda Miti",1503,"Kendwa","Mkoani Kendwa","Jundamiti","Mkoani Kendwa jundamiti"
"Kusini Pemba","Mkoani","Kendwa","Nanguji",1721,"Kendwa","Mkoani Kendwa","Nanguji","Mkoani Kendwa nanguji"
"Kusini Pemba","Mkoani","Kendwa","Kendwa",384,"Kendwa","Mkoani Kendwa","Kendwa","Mkoani Kendwa kendwa"
"Kusini Pemba","Mkoani","Minazini","Mtadoda",464,"Minazini","Mkoani Minazini","Mtadoda","Mkoani Minazini mtadoda"
"Kusini Pemba","Mkoani","Minazini","Minazini",287,"Minazini","Mkoani Minazini","Minazini","Mkoani Minazini minazini"
"Kusini Pemba","Mkoani","Minazini","Mitatuni",276,"Minazini","Mkoani Minazini","Mitatuni","Mkoani Minazini mitatuni"
"Kusini Pemba","Mkoani","Minazini","Kivumoni",436,"Minazini","Mkoani Minazini","Kivumoni","Mkoani Minazini kivumoni"
"Kusini Pemba","Mkoani","Mgagadu","Ngezi",583,"Mgagadu","Mkoani Mgagadu","Ngezi","Mkoani Mgagadu ngezi"
"Kusini Pemba","Mkoani","Mgagadu","Mgagadu",512,"Mgagadu","Mkoani Mgagadu","Mgagadu","Mkoani Mgagadu mgagadu"
"Kusini Pemba","Mkoani","Mgagadu","Kilimni",972,"Mgagadu","Mkoani Mgagadu","Kilimni","Mkoani Mgagadu kilimni"
"Kusini Pemba","Mkoani","Mgagadu","Kalani",261,"Mgagadu","Mkoani Mgagadu","Kalani","Mkoani Mgagadu kalani"
"Kusini Pemba","Mkoani","Mkungu","Mkungu",734,"Mkungu","Mkoani Mkungu","Mkungu","Mkoani Mkungu mkungu"
"Kusini Pemba","Mkoani","Mkungu","Sipwese",638,"Mkungu","Mkoani Mkungu","Sipwese","Mkoani Mkungu sipwese"
"Kusini Pemba","Mkoani","Changaweni","Changaweni",929,"Changaweni","Mkoani Changaweni","Changaweni","Mkoani Changaweni changaweni"
"Kusini Pemba","Mkoani","Changaweni","Kwa Changawe",445,"Changaweni","Mkoani Changaweni","Kwa Changaawe","Mkoani Changaweni kwa changaawe"
"Kusini Pemba","Mkoani","Changaweni","Mtuhaliwa",488,"Changaweni","Mkoani Changaweni","Mtuhaliwa","Mkoani Changaweni mtuhaliwa"
